N,Page,Channel ID,Name,Author,Description,percentage,Tags
481,33,387801,Sensor Set 1 Downstairs,toinesiebelink67,Temperature Sensors Manifold,50,
482,33,3262099,Positions - Genauigkeit,yy56xjk18,Test GPS-Module zB.  Neo - 6/8,50,
483,33,3262102,AHT WIFI TI 235/3262102,mwa0000040439222,Nextcon LTDA,50,
484,33,3262096,AHT WIFI TI 234/3262096,mwa0000040439087,Nextcon LTDA,50,
485,33,3234077,EL2008 Project,mwa0000040205563,A channel to store and display data for EL2008 IoT project.,50,
486,33,3262069,bin notifier,mwa0000038163875,"prince hackathon ,  waste segregation, alert",50,
487,33,1828772,Estação meteorológic...,mwa0000027114602,"Instalada 12 jan 2023
Manutenção do sensor de precipitação (teias) no dia 8 de outubro de 2024",50,
488,33,3245900,Anjali,mwa0000040310700,Anjali,50,
489,33,1351546,AIRQO-G512 UNIT ACTIVE,airqodata02,"AirQo Generation 5 monitor, Bwaise",50,
490,33,2823977,Estação Meteorológic...,mwa0000036688962,"Temperatura, Umidade,  Pressão Atmosférica e radiação UV em manutenção.",50,
491,33,3260269,Channel 3260269,mwa0000040440801,Rain Gauge,50,
492,33,778651,ITEMS-Actuator,cant5533,Actuator channel,50,
493,33,778655,ITEMS-ExternalData,cant5533,External data imported,50,
494,33,3260008,Home_Temp,cj0310au,Home Temperature,50,
495,33,3084753,Temperature and Humi...,mwa0000038859613,IoT based temperature and humidity monitoring system using NodeMCU and DHT22 sensor. Data is uploaded to ThingSpeak and monitored through Telegram bot with alert system.,50,
496,34,2227427,Segeberger Beute Nr 1,mwa0000030644087,Carnica,50,
497,34,651031,TESTING ESP,projectsiva,"A good drainage management is a symbol of good city. Now-a-days man-holes are the main problem in the cities. All
the man-holes are not in secure position. Most of the drainage are in damaged condition. Because of the damaged
drainage, there are chances",50,
498,34,3260082,Litime BMS,mwa0000040436454,140 AH LiFePo Akku Zustand,50,
499,34,3254827,Υγρασία - Ατμοσφαιρι...,mwa0000037184479,"Υγρασία εδάφους είναι η ποσότητα του νερού που είναι δεσμευμένη στους πόρους του εδάφους (μεταξύ των κόκκων του χώματος).
Η υπεριώδης ακτινοβολία (UV) έχει σημαντική επίδραση στις καλλιέργειες, λειτουργώντας τόσο ως παράγοντας στρες όσο και ως ρυθμιστής",50,
500,34,2436916,Weather Monitoring,mwa0000033028797,Team Blaze,50,
501,34,2511329,Dew Point Measurement,mwa0000033724908,Temperature,50,
502,34,3230591,442_ENS160,aflowers,Monitoring jakości powietrza w Sali 442 (czujnik ENS160),50,
503,34,3261757,DHT 11,mwa0000040445265,Humidity and Temperature Server,50,
504,34,2850818,FAULT DETECTION,mwa0000035676419,fault diagnosis of induction motor,50,
505,34,3261710,TEMPERATURE MONITORING,mwa0000040444990,LM35 TEMPERATURE SENSOR,50,
506,34,3261562,"IOT PROJ ( 33 , 34 ,...",mwa0000036630128,Distance Using Ultrasonic,50,
507,34,3258350,AQi,mwa0000040424558,for measuring  level of air quality,50,
508,34,3261348,"IOT PROJ ( 33 , 34 ,...",mwa0000036630128,"Distance using 
Ultrasonic",50,
509,34,1643205,Poids 1 / 2 / 3 / 4 ...,Daniel67,Test pour afficher des datas par Lionel,50,
510,34,3261308,Tem&Hum,mwa0000040444149,ESIOT,50,
511,35,3261143,Exp_4 Ultrasonic Sen...,mwa0000036630480,It displays the distance of the object from the ultrasonic sensor and displays the reading.,50,
512,35,3261259,exp8,mwa0000035846554,dht11,50,
513,35,3261249,exp9,mwa0000035023769,esiot,50,
514,35,3261241,Tem&Hum,mwa0000035054722,Temperature and Humidity values are displayed,50,
515,35,3261233,Temp&Hum,mwa0000034505756,Temperature and humidity,50,
516,35,3261227,exp 4 grp 3,mwa0000036630178,oled distance monitor with graph included absolutely free,50,
517,35,2007543,HO6-Pompa Quide- CH ...,mwa0000024864411,HO6-Pompa  Guinea- CH 2007543,50,
518,35,3148778,Smart Bandage Server,mwa0000036640081,just for data upload of FYDP project,50,
519,35,3261036,Weather Report,mwa0000040443148,measurement of  temperature and humidity of IoT,50,
520,35,1351540,AIRQO-G508 UNIT ACTIVE,airqodata02,AirQo Generation 5 monitor Kampala Quality p/s,50,
521,35,3261042,work,mwa0000040443203,no image,50,
522,35,3261026,Weather Report,mwa0000040443179,Measurement of Temperature and Humidity for iot .,50,
523,35,3261041,Weather report,mwa0000040443161,Measurement of temperature and Humidity for IoT.,50,
524,35,3261024,Weather Report,mwa0000040443154,Measure temperature and humidity for IoT,50,
525,35,3261040,Weather Report,mwa0000040443145,Measurement of Temperature and Humidity for IOT,50,
526,36,3261039,weather report,mwa0000040443133,measument of temperture and humdity for loT.,50,
527,36,3261038,phanwarot jaikwang,mwa0000040443151,measurement of tenperature and Humidity for lot.,50,
528,36,3261030,WMW,mwa0000040443106,Measure Temperature and Humidity.,50,
529,36,3261035,Weather Report,mwa0000040443186,Measurement of Temperature and Humidity for IoT.,50,
530,36,3261037,jos,mwa0000040443141,Measurement of Temperature and Humidity for IoT.,50,
531,36,3261023,Weather report,mwa0000040443139,Measurement of Tempurature and Humidity for loT,50,
532,36,3261025,Weather Report,mwa0000040443157,measurement of Temperature and Humidity for IoT.,50,
533,36,3261019,Weather Report,mwa0000040443123,Measurement of Temperature and Humidity for IoT,50,
534,36,3261028,Weather Report,mwa0000040443131,measurement of Temperature and Humidity for IoT,50,
535,36,3261020,Weather Report,mwa0000040443143,measurement Temperature and Humidity for IOT,50,
536,36,3260421,Smart Monitoring Human,mwa0000040429091,Projek Akhir Kursus IOT,50,
537,36,3254812,Water leakage detect...,mwa0000040398271,system to detect water leakage in distribution pipeline,50,
538,36,3260818,exp09 dht 11,mwa0000035010761,fjfjh,50,
539,36,3260755,GAS AND FLAME,mwa0000040404988,GAS AND FLAME,50,
540,36,3260654,"exp9   E06,E12,E31",mwa0000035554470,humitity and temperature,50,
541,37,3260656,exp09,mwa0000035384824,"humidity,temperature",50,
542,37,3260658,"EXP_9(E08,E26)",mwa0000034245493,DHT_11,50,
543,37,3260714,Humidity and tempera...,mwa0000034406398,Humidity and temperature values,50,
544,37,1548496,FAS-4.2DA(da1dd8)_CT...,herrtien,Hạn 1 năm 31/10/2026,50,
545,37,1606029,FAS-4.2DA(0b4e3d)_CT...,herrtien,Hạn 1 năm đến 31/10/2026,50,
546,37,1554955,FAS-4.2DA(c69d4c)_C...,herrtien,Hạn 1 năm đến 31/10/2026,50,
547,37,3260587,Temp&hum,mwa0000034327502,sending temp and hum readings,50,
548,37,3260661,EXP-9DHT11MCU,mwa0000034281509,T&H TO MCU to CLOUD.,50,
549,37,3260712,humidity and temper...,mwa0000034334526,temperature and humidity values,50,
550,37,3229617,FIoT 2.0,mwa0000034425882,Number of Drones Incidents and Drone lost switch,50,
551,37,3260693,exp9,mwa0000040442337,"hum,tem",50,
552,37,3260687,exp09,mwa0000038068117,"hum,tem",50,
553,37,3260676,exp9,mwa0000040442221,humidity temperature,50,
554,37,3260652,exp9,mwa0000035522927,humidity using the node mcu,50,
555,37,3260672,exp09,mwa0000038105275,"humidity,temp",50,
556,38,3260660,EXP -9,mwa0000038105633,humidity and temperature readings,50,
557,38,3260668,EXP9,mwa0000034570693,"Humidity,Temp",50,
558,38,3260655,EXP9,mwa0000038862455,NODEMCU,50,
559,38,3260659,exp09,mwa0000035010761,"hum, tem",50,
560,38,3260662,EXP09,mwa0000040442165,IOT,50,
561,38,3260667,EXP09,mwa0000038105271,"Humidity,Temperature",50,
562,38,3260664,exp9,mwa0000038068068,Temperature and humidity,50,
563,38,3260657,exp09,mwa0000034412987,"Humidty,Temperature",50,
564,38,3260663,exp-09,mwa0000034246048,"hum,Temp",50,
565,38,3260650,hm&tp,mwa0000034326883,temperature and humidity,50,
566,38,3259635,Temperature value,mwa0000034493152,Temprature value read from node mcu and temperature sensor,50,
567,38,3260645,hum&temp,mwa0000034333441,sending humidity and temperature values,50,
568,38,3260641,hum&tp,mwa0000034326745,hum&temp,50,
569,38,3260637,hm&Temp,mwa0000034326944,temperature and humidity,50,
570,38,3260623,humidity and temper...,mwa0000034334526,temperature and humidity values,50,
571,39,3260620,hum&temp,mwa0000034325627,humidity and temperature values,50,
572,39,3260615,temp & humidity,mwa0000034327204,sending temp and humidity to cloud,50,
573,39,3031171,IOT sensor channel 1,mwa0000037315209,ESP8266,50,
574,39,3260604,hm&Temp,mwa0000034532872,humidity & Temperature values,50,
575,39,3260603,Humidity&temperature,mwa0000034334526,temperature and humidity values,50,
576,39,3260598,Hm&Tp,mwa0000034325958,temperature and humidity values,50,
577,39,3260601,humidity & temperature,mwa0000034381535,temperature & humidity values,50,
578,39,3260588,hm&tp,mwa0000034348461,temperature and humidity values,50,
579,39,3260590,hm&Tp,mwa0000034326601,sending temperature and humidity values,50,
580,39,3260589,hm&tp,mwa0000034333441,sending temp and hum values,50,
581,39,3260591,Humidity&temp,mwa0000034326686,Obtaining the values of humidity & temperature from DHT11 sensor,50,
582,39,3260599,hm&Tp,mwa0000034327034,temperature and humidity values,50,
583,39,3260600,hm&Tp,mwa0000034326560,humidity and temparature,50,
584,39,3260602,Humidity & Temperature,mwa0000034527209,Sending Temperature and Humidity values,50,
585,39,3260593,humtp,mwa0000034326371,Sending temp and humidity values,50,
586,40,3260596,humidity and tempera...,mwa0000034338747,sending temperature and humidity values,50,
587,40,3260592,humidandtemp,mwa0000034326911,sending humid and temp values,50,
588,40,3260597,H&T,mwa0000034325827,humidity and temperature values,50,
589,40,3260453,AjanJitti,mwa0000040441504,my first IOT,50,
590,40,3260444,IQchongching,mwa0000040441472,เรียนจ้า,50,
591,40,3260463,kkkkkk,mwa0000040039408,pmuni,50,
592,40,3260387,IOT Exp 2,mwa0000038107591,IR Interfacing,50,
593,40,3260461,daisy,mwa0000040441517,hello,50,
594,40,3260462,Ronaldo,mwa0000040441546,iot 1st,50,
595,40,3260448,Suphan,mwa0000040441494,IOT1,50,
596,40,3260456,Samsung IoT,mwa0000040441496,My first IoT,50,
597,40,3260458,Sadboy01,mwa0000039978231,learning,50,
598,40,3254194,PemBeds-Finals,mwa0000040309090,Gate,50,
599,40,3260381,IOT lab 4,mwa0000036680219,Ultrasonic Measurement,50,
600,40,3260358,IOT LAb,mwa0000036652778,IOT lab,50,
601,41,3260365,darren_RR2501Q,mwa0000040441191,,50,rr2501q/r
602,41,3260355,IOT EXP4,mwa0000036652827,Ultrasonic Measurment,50,
603,41,3260344,Ultrasonic readings,mwa0000036652763,Distance measurement,50,
604,41,3260328,Norman_RR2501R,mwa0000040440971,,50,rr2501q/r
605,41,3254985,Smart Agriculture We...,mwa0000035937263,"Monitoring temperature, humidity, soil moisture and rainfall using ESP32",50,
606,41,3260267,Fanghospital,mwa0000039661703,Iot Smart Data Pharmaceutical Inventory Fanghospital,50,
607,41,3258987,iot Monitoring,mwa0000040428857,egg?,50,
608,41,3260241,速成龍虎榜,mwa0000040369588,https://michaelten10ten.github.io/resources/chinese_typeshooter.html,50,
609,41,3258288,Location demo,mwa0000033851788,iPhone used to test process,50,
610,41,3258470,ESP32 Peripherials,mwa0000040425032,Monitoring Aquaculture Water Quality,50,
611,41,3218115,Aquario ESP32,alevecchio,Controle de parâmetros do Aquario com ESP32,50,
612,41,3240242,Basureros Inteligent...,mwa0000030100885,Prototipo de sistema IoT para el monitoreo del nivel de llenado de un basurero inteligente en un campus universitario.,50,
613,41,3252342,testline,sven.bickelhaupt,ESP-Testline mit BME280.,50,
614,41,2393901,Wifi-Temp IOT,z2bitbot,Collecting temperature and Humidity via Arduino Nanoesp32,50,
615,41,3260065,Monitoreo_Signos Vit...,mwa0000029220667,Sistema de monitoreo LoRa - Signos Vitales,50,
616,42,3260211,DSB WIFI TI 234/3260211,mwa0000040439087,Nextcon LTDA,50,
617,42,3260209,DSB WIFI TI 234/3260209,mwa0000040439087,Nextcon LTDA,50,
618,42,3260207,Hidronivel Wifi TI 2...,mwa0000040439087,Nextcon LTDA,50,
619,42,3260202,DSB WIFI TI 233/3260202,mwa0000040367608,Nextcon LTDA,50,
620,42,3260201,Hidronivel Wifi TI 2...,mwa0000040367608,Nextcon LTDA,50,
621,42,3260198,Hidronivel Wifi TI 2...,mwa0000040367608,Nextcon LTDA,50,
622,42,3260193,Hidronivel Wifi TI 2...,mwa0000040367608,Nextcon LTDA,50,
623,42,3260190,DSB WIFI TI 232/3260190,mwa0000040367597,Nextcon LTDA,50,
624,42,3260188,Hidronivel Wifi TI ...,mwa0000040367597,Nextcon LTDA,50,
625,42,3260187,DSB WIFI TI 232/3260187,mwa0000040367597,Nextcon LTDA,50,
626,42,3260138,PM2.5 - CBU,mwa0000040330583,,50,"sydney,pm2.5,cbu"
627,42,1392706,Temperatura,electro2017,ESP32-C3 DS18B20,50,
628,42,3260176,Hidronivel Wifi TI 2...,mwa0000040367597,Nextcon LTDA,50,
629,42,2588686,Security,mwa0000034349860,safe environment,50,
630,42,566931,Ulkolämpötila,piisamirotta59,BMP280 anturi,50,
631,43,565191,esp32 si7021 olohuone,piisamirotta59,tää on v1,50,
632,43,3260160,DSB WIFI TI 231/3260160,mwa0000040367589,Nextcon LTDA,50,
633,43,3260146,Group 5,mwa0000040291197,CPS LAB,50,
634,43,3260145,DSB WIFI TI 231/3260145,mwa0000040367589,Nextcon LTDA,50,
635,43,3216820,Pomul Inteligent – M...,mwa0000040022611,"Monitorizare calitate aer, risc incendiu și stare ventilatoare",50,
636,43,1373038,AIRQO-G518 UNIT ACTIVE,airqodata02,AirQo Gen5 monitor,50,
637,43,3253833,Temperatur Supervisi...,egoszadlik,ESP8266 and to DB18B20 sensor,50,
638,43,3258509,Colmena Apicultura T...,mwa0000040414212,Uso de sensores para Tesis de Apicultura,50,
639,43,3260063,cbu,mwa0000040316424,air quality,50,
640,43,2090015,Quinta do Canhoto - ...,mwa0000029669125,Meteorological Station - WiFi,50,
641,43,3259986,Channel 3259986,mwa0000040435787,,50,"lora,iot,temperature,gateway,rssi,snr"
642,43,3260021,Test-1,mwa0000035725648,Temperature & Humidity!,50,
643,43,899967,Libelium #1 @ Athens...,rfsatdev,Gas sensor deployed for AgriBIT in Korfos (GR),50,
644,43,905675,Libelium #2 @ Korfos...,rfsatdev,Gas sensor deployed for AgriBIT in Brufa (Italy),50,
645,43,1398395,MM MeseAnno,mwa0000017459764,"usa codice per calcolare la pioggia del mese in corso, dell'anno in corso, la massima delle massime dell'anno e la minima delle minime dell'anno.",50,
646,44,3260005,5345,mwa0000029700391,345,50,
647,44,3259998,Hidronivel Wifi WEB ...,mwa0000040367589,Nextcon LTDA,50,
648,44,3247846,Atividade 3,mwa0000040341417,Painel de controle,50,
649,44,3259989,Watering robot,mwa0000040435872,IED,50,
650,44,3259950,Hidronivel ETH WEB T...,mwa0000040367589,Nextcon LTDA,50,
651,44,3259948,DHT11 sensor,mwa0000040434956,Temperature & Humidity,50,
652,44,3259940,Dust monetring,mwa0000040434923,Stack dust monetring system,50,
653,44,3259945,Melbourne Water 3,mwa0000002740426,MW3,50,
654,44,3259932,Päikesejälgija,mwa0000040434915,"Loovtöö projekt (STEM, Informaatika)",50,
655,44,3259944,Melbourne Water 2,mwa0000002740426,MW2,50,
656,44,3259943,Melbourne Water 1,mwa0000002740426,MW1,50,
657,44,3032329,Interromate Demo,mwa0000002740426,"optical fibre sensor, T, RH",50,
658,44,3245503,SDM630MCT,mwa0000030658793,This Meter measures the energy consumption,50,
659,44,2428632,Метеостанція Дергачі,mwa0000027345294,IoT personal dev project by Vlad Popov,50,
660,44,3196651,SHT40,mwa0000021373507,Temperature and humidity on a SHT40 sensor with ESP32-S2,50,
661,45,3189849,Adtron,mwa0000039805765,IOT Trainer kit,50,
662,45,2388050,N.A.And.Tlf_Verileri1,mwa0000032492853,2CihazKontrol,50,
663,45,3259816,Temperature Monitoring,mwa0000040433836,Arduino Iot temperature /humidity data,50,
664,45,3259759,Data Center,mwa0000040433370,ใช้ในการเก็บรวบรวมข้อมูลที่ได้รับ,50,
665,45,3259679,ReadChannel,mwa0000040287428,Channel for reading,50,
666,45,3250403,ReadDataChannel,mwa0000040139991,Channel for reading info,50,
667,45,3259592,ELC act,mwa0000038257882,making for ELC activity,50,
668,45,2549687,RAWDATA QUINTA_SOALH...,mwa0000034012036,Field 1: Sa Meteo Sende - Field 2: Ma Meteo Melgaço - Field 3: Sa Solo Altitude e Sb Solo Altitude 3 - Field 4: Sb Solo Sende - Field 5: Mb Solo Melgaço - Field 6: vazio-raposinha_OUT,50,
669,45,3258388,"l'Estany, Moianès",joaquinjimenez,microbit_bme280_esp8266,50,
670,45,3259437,DHT11,mwa0000034399560,read temp and humidity,50,
671,45,3259446,DHT11,mwa0000034226532,READ TEMPERATURE AND HUMIDITY,50,
672,45,3259440,DHT11,mwa0000038232530,temp and humidity,50,
673,45,3259526,DHTT,mwa0000034561617,TEMP & HUM MONITORING,50,
674,45,3259448,dht11,mwa0000034226579,read temperature and humidity,50,
675,45,3259481,IoTLab2,mwa0000033443170,This channel was created on 11/2 - for IoT Lab 2. Introduction to ThingSpeak,50,
676,46,3258771,Smart IoT Monitoring,mwa0000040429132,Monitor IoT,50,
677,46,3259365,Ultrasonic Sensor : ...,mwa0000040431748,Measuring distance of objects from the sensor using Ultrasonic sensor,50,
678,46,3259373,Weather report,mwa0000040431828,,50,"sensor,dht"
679,46,3258722,Smart Iot Monitoring,mwa0000040429232,Temperature (c),50,
680,46,3258719,Smart IoT Monitoring,mwa0000040429151,"Smart IoT Monitoring refers to a system that uses Internet of Things (IoT) devices—such as sensors, cameras, and connected equipment—to continuously collect, transmit, analyze, and act on real-time data from physical environments.",50,
681,46,3255356,DC MONITORING,mwa0000039289426,"untuk melihat tegangan total, tegangan +, dan tegangan -",50,
682,46,1593993,Grow Tent IOT,mwa0000022711108,,50,mushroom
683,46,3259339,Smart Weather Station,mwa0000040210707,MOSTT,50,
684,46,3258681,Smart Iot Monitoring,mwa0000040429091,Projek IOT,50,
685,46,3259249,Channel 3259249,mwa0000040431305,,50,dht11.sensor
686,46,3259277,faeee,mwa0000040431276,,50,dddf
687,46,703226,"Tekninen, pukuhuone ...",ruunula,"Tekninen, pukuhuone ja pesuhuone",50,
688,46,3259218,Weather Report,mwa0000040431205,Esp8266 mesurement sensor,50,
689,46,3259227,weather report,mwa0000040431233,,50,"dht11,semsor"
690,46,3259229,temp hu,mwa0000040431241,,50,"dht11,sensor"
691,47,3259225,Smart Home,mwa0000040431240,,50,"dht11,sensor"
692,47,3259228,5,mwa0000040431184,,50,dht11.sensor
693,47,3259209,8754,mwa0000034643538,temprath,50,
694,47,3259008,Temperature sensor d...,mwa0000031918722,Temperature sensor reading value from DHT11,50,
695,47,3259171,potentometer,mwa0000040418816,Getting potentiometer values,50,
696,47,2218510,Hartebees Solar,bennieo,Solar site monitoring with Desert Wolf Remote Logger - www.desert-wolf.com,50,
697,47,3258921,H&T,mwa0000034475667,Uploading data,50,
698,47,3259011,Temperature Values,mwa0000034413726,Checking live temp. uaing node mcu and temp. sensor,50,
699,47,3095871,Microalgae multiple ...,martinsoyinloye,Individual sensor readings in real time,50,
700,47,3259038,testing,mwa0000025627679,"temperature, humidity, testing,",50,
701,47,3259034,mq2,mwa0000031942729,"IoT Based Air, Smoke and Gas Monitor using MQ2",50,
702,47,3259017,MQ2,mwa0000031942729,"IoT Based Air, Smoke and Gas Monitor using MQ2",50,
703,47,3259028,temperature sensor,mwa0000040430600,DHT11 temperature sensor,50,
704,47,3258880,Nani,mwa0000040429953,23545A0416,50,
705,47,3258989,f55,mwa0000035523277,node mcu,50,
706,48,3258988,Demo,mwa0000040430347,Sensor Data,50,
707,48,3258981,exp8,mwa0000037286093,dht11,50,
708,48,3258973,experiment 9,mwa0000035264134,experiment,50,
709,48,3190438,6602013611092_Orient...,mwa0000038054880,IoT2 next to ioT1,50,
710,48,3258939,experiment9,mwa0000035035063,humidity &temperature using node MCU,50,
711,48,3258926,experiment-9,mwa0000035036990,to upload temperature and humidity,50,
712,48,3258933,EXP -9,mwa0000035046203,Node ncu to upload temp and hum,50,
713,48,3258931,EXP-09,mwa0000034835229,temperature and humidity data,50,
714,48,3258929,EXP-9,mwa0000035034902,uploading to cloud,50,
715,48,3258930,exxx9,mwa0000034821100,lab experiment,50,
716,48,3258932,exp 9,mwa0000035040641,to print temp and hum,50,
717,48,3258936,Experiment 9,mwa0000034643538,Thingspeak,50,
718,48,3258963,exp9,mwa0000034562400,dht11,50,
719,48,3258964,expp9,mwa0000035033552,dht11,50,
720,48,3258946,exp 9,mwa0000035034960,upload humidity and temperature data to cloud,50,
721,49,3258962,exp9,mwa0000038655914,upload temperature and humidity to thingspeak cloud,50,
722,49,3258966,exp9,mwa0000034559455,upload temperature and humidity to thingspeak cloud,50,
723,49,3258950,Experiment 9,mwa0000035035089,Using Node MCU to upload temp and humidity data to thingspeak cloud,50,
724,49,3258959,EXP 9,mwa0000034553111,Interface DHT11 with NodeMCU and upload in Thingspeak,50,
725,49,3258956,602013611165_Orienta...,mwa0000030544187,iot,50,
726,49,3258957,6602013611092_Orient...,mwa0000038054880,.,50,
727,49,3258857,EMBEDDED SYS IOT FOR...,mwa0000030579123,EMBEDDED SYS IOT FOR AGRICULTURE,50,
728,49,3258850,6602013611157_Orient...,mwa0000030544187,i03,50,
729,49,3258849,i03,mwa0000039813465,i03,50,
730,49,3258908,Automatic Weather St...,mwa0000040430059,ESP32 based weather monitoring and prediction system,50,
731,49,3205958,6602013611149_Orient...,mwa0000030544374,,50,"ponpawee,pawee,kmutnb"
732,49,3190430,EMBEDDED SYS IOT FOR...,mwa0000030544293,,50,"mykmutnb_jtm,agriculture"
733,49,3190433,EMBEDDED SYS IOT FOR...,mwa0000030578570,,50,"mykmutnb_prd,agriculture"
734,49,3258881,ECE,mwa0000040419869,402,50,
735,49,3258882,pragna,mwa0000040429962,403,50,
736,50,3258848,6602013611122_Orient...,mwa0000030570786,EMBEDDED STS IOT FOR AGRICULTURE_2,50,
737,50,3258864,6602013610045_Orien...,mwa0000033881127,6602013610045_Orientation,50,
738,50,3258778,Smart Home Iot,mwa0000040429374,ESp8266,50,
739,50,3258794,Smart Home IOT,mwa0000040429425,ESP8266 DHT11,50,
740,50,3164143,FC,mwa0000039609881,FC-DC,50,
741,50,3258769,Smart IoT Monitoring,mwa0000040429147,"Smart IoT Monitoring is a system that uses Internet of Things (IoT) technology to automatically collect, transmit, and analyze data from sensors and connected devices in real time through the internet. It involves sensors that measure physical conditions",50,
742,50,3258709,Smart IoT Monitoring v2,mwa0000027616042,"Smart IoT Monitoring v2 is an advanced evolution of remote sensing that shifts the focus from simple data collection to Edge Intelligence and Predictive Analytics. By integrating a robust stack—typically featuring ESP32 or ARM-based hardware, MQTT for low",50,
743,50,3258779,Smart Home,mwa0000040429401,Esp8266 DHT11,50,
744,50,3258798,Smart Home,mwa0000040429405,Esp8266 DHT 11,50,
745,50,3258796,TempMeter,mwa0000040429458,The Test for using Thing speak for the first time and the first that we use think speak with esp8266 and we use Dht 11 for finding out the Temp and Humidity,50,
746,50,3258782,Smart Farm,mwa0000040429406,Esp8266 DHT11,50,
747,50,3258780,Smart Farm,mwa0000040104858,Esp8266 DHT11,50,
748,50,3258781,Smart Farm,mwa0000040429392,Esp8266DHT11,50,
749,50,3258752,Test0,mwa0000036700448,Test - College 0,50,
750,50,3052474,Aarogyam,mwa0000038513631,"Real time monitoring of electrolyte, pulse rate and Body temp.",50,
751,51,3258760,Smart IoT Monitoring,mwa0000040429210,"uses sensors and internet-connected devices to collect real-time data from the physical environment—such as temperature, humidity, light, motion, or air quality—and transmit it to a cloud platform like ThingSpeak for storage, visualization, and analysis.",50,
752,51,3258711,Amey Nagotkar,mwa0000036633473,Exp-2 Temp & Humidity,50,
753,51,3258682,iot chicken,mwa0000040428857,temp and humidity sensor,50,
754,51,1295468,ECA-GPIs4.2THs (d150...,herrtien,Hạn 1 năm đến 10/2/2027,50,
755,51,3258658,Powerbank Monitoring...,mwa0000040428857,Voltage percentage,50,
756,51,3251135,a,mwa0000040344113,z,50,
757,51,3258617,TestRead_Accel,mwa0000040428510,Acceleration_Read,50,
758,51,3258545,DHT22 + Water Sensor,mwa0000040428227,"Obana, Castro",50,
759,51,3258531,"DHT22 Sensor Obana, ...",mwa0000040428227,DHT22,50,
760,51,3258533,IoT Frontier 1,mwa0000040418954,DHT22 measurement,50,
761,51,2472295,Environmental System...,mwa0000033001169,"Tracks real-time environmental conditions. It collects data on temperature (Fahrenheit and Celsius), humidity, air pressure,and PM2.5 concentration. To analyse the air density, and Air Quality Index (AQI).",50,
762,51,3258188,Marcus Calvin T. Dud...,mwa0000040418741,DHT22 MEASUREMENT,50,
763,51,2690505,Former Holiday Cleaners,dangrasmick,SVE system monitoring,50,
764,51,1788650,Wetterdaten Radstadt...,mwa0000026895527,tawes-v1-10min,50,
765,51,1788647,Wetterdaten Radstadt...,mwa0000026895527,tawes-v1-10min,50,
766,52,3252372,Proyecto de monitore...,mwa0000040158306,Monitoreo ambiental,50,
767,52,2488514,Monitoreo Humedal #4,cadiazAIoTIcesi,,50,monitoreo humedal #4
768,52,2981111,Turbidity,mwa0000034415005,AU^2 sensor testing,50,
769,52,3258498,Bryden Temperature Lab,mwa0000038603013,EP 4210 Sensor Lab,50,
770,52,3258476,Herschede,mwa0000040426952,Clock pendulum analysis,50,
771,52,3258471,Temperature Probe,mwa0000034888671,EP 4210 - Sensor Lab,50,
772,52,3242172,Channel,mwa0000040288183,Channel,50,
773,52,3250519,Performance Monitor Lab,mwa0000040361734,"Lo scopo di questa esercitazione è quello di realizzare un sistema di monitoraggio del proprio server
(PC) che consenta di visualizzarne le performance da remoto.",50,
774,52,3256722,Metalica Energy Monitor,mwa0000037748050,Three-Phase Energy meter,50,
775,52,3256441,Calidad del aire,mwa0000019945411,"mide concentración de gases (CO, CO2 y otros) en el aire en ppm, con MQ135",50,
776,52,3235163,Dehydration Monitori...,mwa0000034474713,"A wearable device designed to continuously track hydration-related signals and stress indicators. It integrates advanced sensors into a compact wristband, enabling real-time monitoring and seamless data collection.",50,
777,52,3062577,Campbell Repair 21 (...,mwa0000019692392,"Campbell Repair 21 -
 SN:333639 to replace CR14",50,
778,52,3044402,Campbell Repair 16 -...,mwa0000019692392,"Campbell Repair 16
SN: 332525
New DRUCK
DRUCK Replaced 1/6/26",50,
779,52,3062575,Campbell Repair 20-RTD,mwa0000019692392,"Campbell Repair 20 -
Includes CS211 Sensor
SN: 25023",50,
780,52,3062574,Campbell Repair 19 -RTD,mwa0000019692392,"Campbell Repair 19 -
Includes CS211 Sensor
SN:25700",50,
781,53,3258465,Campbell Repair 26,mwa0000019692392,Campbell Repair 26 -Pending Campbell Station,50,
782,53,1778165,Pluvio_a_Prueba  en ...,lnavarria,"volumen en mililitros,
velocidad de tiempo de subida de datos",50,
783,53,3258462,Campbell Repair 24,mwa0000019692392,Campbell Repair 24 -Pending Campbell Station,50,
784,53,3258463,Campbell Repair 25,mwa0000019692392,Campbell Repair 25 -Pending Campbell Station,50,
785,53,2145276,Heltec Sensor readi...,andtit,Lora module Heltec Mesh readings,50,
786,53,1373035,AIRQO-G515 UNIT ACTIVE,airqodata02,AirQo Gen5 monitor Jinja City Council,50,
787,53,2986051,Jake's,mwa0000037954217,skleník,50,
788,53,1994182,Estação Meteorológic...,mwa0000028038717,Estação Meteorológica com Eto,50,
789,53,242506,Hay House Home,keplerian,"Radiation and weather, Louisa, VA",50,
790,53,1300620,BAROMETRO,mwa0000021471947,Misure con BME280,50,
791,53,3255036,Sense Hat READ Data,mwa0000040401233,Temperature and humidity data from Raspberry Pi Sense HAT,50,
792,53,3228104,SenseHAT Graphing Ch...,mwa0000040128295,Channel displays and stores data from SenseHAT sensore,50,
793,53,3258290,readinfo,mwa0000040128246,other channel for project that writes the output,50,
